agent,contrainte,jour,value,poids
1,1,1,0,130
1,1,2,0,130
1,1,3,0,130
1,1,4,0,130
1,1,5,0,130
1,1,6,0,130
1,1,7,0,130
1,1,8,0,130
1,1,9,0,130
1,1,10,0,130
1,1,11,0,130
1,1,12,0,130
1,1,13,0,130
1,1,14,0,130
1,1,15,0,130
1,1,16,0,130
1,1,17,0,130
1,1,18,0,130
1,1,19,0,130
1,1,20,0,130
1,1,21,0,130
1,1,22,1,130
1,1,23,0,130
1,1,24,0,130
1,1,25,0,130
1,1,26,0,130
1,1,27,0,130
1,1,28,0,130
1,1,29,0,130
1,1,30,0,130
1,1,31,0,130
1,1,32,0,130
1,1,33,0,130
1,1,34,0,130
1,1,35,0,130
1,1,36,0,130
1,1,37,0,130
1,1,38,0,130
1,1,39,0,130
1,1,40,0,130
1,1,41,0,130
1,1,42,0,130
1,1,43,0,130
1,1,44,0,130
1,1,45,0,130
1,1,46,0,130
1,1,47,1,130
1,1,48,0,130
1,1,49,0,130
1,1,50,0,130
1,1,51,0,130
1,1,52,0,130
1,1,53,0,130
1,1,54,0,130
1,1,55,0,130
1,1,56,0,130
1,1,57,0,130
1,1,58,0,130
1,1,59,0,130
1,1,60,0,130
1,1,61,0,130
1,1,62,0,130
1,1,63,0,130
1,1,64,0,130
1,1,65,0,130
1,1,66,0,130
1,1,67,0,130
1,1,68,0,130
1,1,69,0,130
1,1,70,0,130
1,1,71,0,130
1,1,72,0,130
1,1,73,0,130
1,1,74,0,130
1,1,75,0,130
1,1,76,0,130
1,1,77,0,130
1,1,78,0,130
1,1,79,0,130
1,1,80,0,130
1,1,81,0,130
1,1,82,0,130
1,1,83,0,130
1,1,84,0,130
1,2,1,0,130
1,2,2,0,130
1,2,3,1,130
1,2,4,0,130
1,2,5,0,130
1,2,6,0,130
1,2,7,0,130
1,2,8,0,130
1,2,9,0,130
1,2,10,0,130
1,2,11,0,130
1,2,12,0,130
1,2,13,0,130
1,2,14,0,130
1,2,15,0,130
1,2,16,0,130
1,2,17,0,130
1,2,18,0,130
1,2,19,0,130
1,2,20,0,130
1,2,21,0,130
1,2,22,0,130
1,2,23,0,130
1,2,24,0,130
1,2,25,0,130
1,2,26,0,130
1,2,27,0,130
1,2,28,0,130
1,2,29,0,130
1,2,30,0,130
1,2,31,1,130
1,2,32,0,130
1,2,33,0,130
1,2,34,0,130
1,2,35,0,130
1,2,36,0,130
1,2,37,0,130
1,2,38,0,130
1,2,39,0,130
1,2,40,0,130
1,2,41,0,130
1,2,42,0,130
1,2,43,0,130
1,2,44,0,130
1,2,45,0,130
1,2,46,0,130
1,2,47,1,130
1,2,48,0,130
1,2,49,1,130
1,2,50,0,130
1,2,51,0,130
1,2,52,0,130
1,2,53,0,130
1,2,54,0,130
1,2,55,0,130
1,2,56,0,130
1,2,57,0,130
1,2,58,0,130
1,2,59,0,130
1,2,60,0,130
1,2,61,0,130
1,2,62,0,130
1,2,63,0,130
1,2,64,0,130
1,2,65,0,130
1,2,66,0,130
1,2,67,0,130
1,2,68,0,130
1,2,69,0,130
1,2,70,0,130
1,2,71,0,130
1,2,72,0,130
1,2,73,0,130
1,2,74,0,130
1,2,75,0,130
1,2,76,0,130
1,2,77,0,130
1,2,78,0,130
1,2,79,0,130
1,2,80,0,130
1,2,81,0,130
1,2,82,0,130
1,2,83,0,130
1,2,84,0,130
1,3,1,0,200
1,3,2,0,200
1,3,3,0,200
1,3,4,0,200
1,3,5,0,200
1,3,6,0,200
1,3,7,0,200
1,3,8,0,200
1,3,9,0,200
1,3,10,0,200
1,3,11,0,200
1,3,12,0,200
1,3,13,0,200
1,3,14,0,200
1,3,15,0,200
1,3,16,0,200
1,3,17,0,200
1,3,18,0,200
1,3,19,0,200
1,3,20,0,200
1,3,21,0,200
1,3,22,0,200
1,3,23,0,200
1,3,24,0,200
1,3,25,0,200
1,3,26,0,200
1,3,27,0,200
1,3,28,0,200
1,3,29,0,200
1,3,30,0,200
1,3,31,0,200
1,3,32,0,200
1,3,33,0,200
1,3,34,0,200
1,3,35,0,200
1,3,36,0,200
1,3,37,0,200
1,3,38,0,200
1,3,39,0,200
1,3,40,0,200
1,3,41,0,200
1,3,42,0,200
1,3,43,0,200
1,3,44,1,200
1,3,45,0,200
1,3,46,0,200
1,3,47,0,200
1,3,48,0,200
1,3,49,0,200
1,3,50,0,200
1,3,51,0,200
1,3,52,0,200
1,3,53,0,200
1,3,54,0,200
1,3,55,0,200
1,3,56,0,200
1,3,57,0,200
1,3,58,0,200
1,3,59,0,200
1,3,60,0,200
