agent,contrainte,semaine,value,poids
1,4,1,0,150
1,4,2,0,150
1,4,3,0,150
1,4,4,0,150
1,4,5,0,150
1,4,6,0,150
1,4,7,0,150
1,4,8,0,150
1,4,9,0,150
1,4,10,0,150
1,4,11,0,150
1,4,12,0,150
1,5,1,0,150
1,5,2,0,150
1,5,3,0,150
1,5,4,0,150
1,5,5,0,150
1,5,6,0,150
1,5,7,0,150
1,5,8,0,150
1,5,9,0,150
1,5,10,0,150
1,5,11,0,150
1,5,12,0,150
1,6,1,0,150
1,6,2,0,150
1,6,3,0,150
1,6,4,0,150
1,6,5,0,150
1,6,6,0,150
1,6,7,0,150
1,6,8,0,150
1,6,9,0,150
1,6,10,0,150
1,6,11,0,150
1,6,12,0,150
1,7,1,0,150
1,7,2,0,150
1,7,3,0,150
1,7,4,0,150
1,7,5,0,150
1,7,6,0,150
1,7,7,0,150
1,7,8,0,150
1,7,9,0,150
1,7,10,0,150
1,7,11,0,150
1,7,12,0,150
1,8,1,0,150
1,8,2,0,150
1,8,3,0,150
1,8,4,0,150
1,8,5,0,150
1,8,6,0,150
1,8,7,0,150
1,8,8,0,150
1,8,9,0,150
1,8,10,0,150
1,8,11,0,150
1,8,12,0,150
1,9,1,0,150
1,9,2,0,150
1,9,3,0,150
1,9,4,0,150
1,9,5,0,150
1,9,6,0,150
1,9,7,0,150
1,9,8,0,150
1,9,9,0,150
1,9,10,0,150
1,9,11,0,150
1,9,12,0,150
1,16,1,0,170
1,16,2,0,170
1,16,3,0,170
1,16,4,0,170
1,16,5,0,170
1,16,6,0,170
1,16,7,0,170
1,16,8,0,170
1,16,9,0,170
1,16,10,0,170
1,16,11,0,170
1,16,12,0,170
1,17,1,0,170
1,17,2,0,170
1,17,3,0,170
1,17,4,0,170
1,17,5,0,170
1,17,6,0,170
1,17,7,0,170
1,17,8,0,170
1,17,9,0,170
1,17,10,0,170
1,17,11,0,170
1,17,12,0,170
1,22,1,0,20
1,22,2,0,20
1,22,3,0,20
1,22,4,0,20
1,22,5,0,20
1,22,6,0,20
1,22,7,0,20
1,22,8,0,20
1,22,9,0,20
1,22,10,0,20
1,22,11,0,20
1,22,12,0,20
1,23,1,0,20
1,23,2,0,20
1,23,3,0,20
1,23,4,0,20
1,23,5,0,20
1,23,6,0,20
1,23,7,0,20
1,23,8,0,20
1,23,9,0,20
1,23,10,0,20
1,23,11,0,20
1,23,12,0,20
1,24,1,0,20
1,24,2,0,20
1,24,3,0,20
1,24,4,0,20
1,24,5,0,20
1,24,6,0,20
1,24,7,0,20
1,24,8,0,20
1,24,9,0,20
1,24,10,0,20
1,24,11,0,20
1,24,12,0,20
1,25,1,0,20
1,25,2,0,20
1,25,3,0,20
1,25,4,0,20
1,25,5,0,20
1,25,6,0,20
1,25,7,0,20
1,25,8,0,20
1,25,9,0,20
1,25,10,0,20
1,25,11,0,20
1,25,12,0,20
1,26,1,0,20
1,26,2,0,20
1,26,3,0,20
1,26,4,0,20
1,26,5,0,20
1,26,6,0,20
1,26,7,0,20
1,26,8,0,20
1,26,9,0,20
1,26,10,0,20
1,26,11,0,20
1,26,12,0,20
1,27,1,0,20
1,27,2,0,20
1,27,3,0,20
1,27,4,0,20
1,27,5,0,20
1,27,6,0,20
1,27,7,0,20
1,27,8,0,20
1,27,9,0,20
1,27,10,0,20
1,27,11,0,20
1,27,12,0,20
1,28,1,0,20
1,28,2,0,20
1,28,3,0,20
1,28,4,0,20
1,28,5,0,20
1,28,6,0,20
1,28,7,0,20
1,28,8,0,20
1,28,9,0,20
1,28,10,0,20
1,28,11,0,20
1,28,12,0,20
1,29,1,0,20
1,29,2,0,20
1,29,3,0,20
1,29,4,0,20
1,29,5,0,20
1,29,6,0,20
1,29,7,0,20
1,29,8,0,20
1,29,9,0,20
1,29,10,0,20
1,29,11,0,20
1,29,12,0,20
1,30,1,0,20
1,30,2,0,20
1,30,3,0,20
1,30,4,0,20
1,30,5,0,20
1,30,6,0,20
1,30,7,0,20
1,30,8,0,20
1,30,9,0,20
1,30,10,0,20
1,30,11,0,20
1,30,12,0,20
1,31,1,0,20
1,31,2,0,20
1,31,3,0,20
1,31,4,0,20
1,31,5,0,20
1,31,6,0,20
1,31,7,0,20
1,31,8,0,20
1,31,9,0,20
1,31,10,0,20
1,31,11,0,20
1,31,12,0,20
1,32,1,0,20
1,32,2,0,20
1,32,3,0,20
1,32,4,0,20
1,32,5,0,20
1,32,6,0,20
1,32,7,0,20
1,32,8,0,20
1,32,9,0,20
1,32,10,0,20
1,32,11,0,20
1,32,12,0,20
1,33,1,0,20
1,33,2,0,20
1,33,3,0,20
1,33,4,0,20
1,33,5,0,20
1,33,6,0,20
1,33,7,0,20
1,33,8,0,20
1,33,9,0,20
1,33,10,0,20
1,33,11,0,20
1,33,12,0,20
1,34,1,0,20
1,34,2,0,20
1,34,3,0,20
1,34,4,0,20
1,34,5,0,20
1,34,6,0,20
1,34,7,0,20
1,34,8,0,20
1,34,9,0,20
1,34,10,0,20
1,34,11,0,20
1,34,12,0,20
1,35,1,0,20
1,35,2,0,20
1,35,3,0,20
1,35,4,0,20
1,35,5,0,20
1,35,6,0,20
1,35,7,0,20
1,35,8,0,20
1,35,9,0,20
1,35,10,0,20
1,35,11,0,20
1,35,12,0,20
1,36,1,0,20
1,36,2,0,20
1,36,3,0,20
1,36,4,0,20
1,36,5,0,20
1,36,6,0,20
1,36,7,0,20
1,36,8,0,20
1,36,9,0,20
1,36,10,0,20
1,36,11,0,20
1,36,12,0,20
1,37,1,0,20
1,37,2,0,20
1,37,3,0,20
1,37,4,0,20
1,37,5,0,20
1,37,6,0,20
1,37,7,0,20
1,37,8,0,20
1,37,9,0,20
1,37,10,0,20
1,37,11,0,20
1,37,12,0,20
1,38,1,0,20
1,38,2,0,20
1,38,3,0,20
1,38,4,0,20
1,38,5,0,20
1,38,6,0,20
1,38,7,0,20
1,38,8,0,20
1,38,9,0,20
1,38,10,0,20
1,38,11,0,20
1,38,12,0,20
1,39,1,0,20
1,39,2,0,20
1,39,3,0,20
1,39,4,0,20
1,39,5,0,20
1,39,6,0,20
1,39,7,0,20
1,39,8,0,20
1,39,9,0,20
1,39,10,0,20
1,39,11,0,20
1,39,12,0,20
2,4,1,0,150
2,4,2,0,150
2,4,3,0,150
2,4,4,0,150
2,4,5,0,150
2,4,6,0,150
2,4,7,0,150
2,4,8,0,150
2,4,9,0,150
2,4,10,0,150
2,4,11,0,150
2,4,12,0,150
2,5,1,0,150
2,5,2,0,150
2,5,3,0,150
2,5,4,0,150
2,5,5,0,150
2,5,6,0,150
2,5,7,0,150
2,5,8,0,150
2,5,9,0,150
2,5,10,0,150
2,5,11,0,150
2,5,12,0,150
2,6,1,0,150
2,6,2,0,150
2,6,3,0,150
2,6,4,0,150
2,6,5,0,150
2,6,6,0,150
2,6,7,0,150
2,6,8,0,150
2,6,9,0,150
2,6,10,0,150
2,6,11,0,150
2,6,12,0,150
2,7,1,0,150
2,7,2,0,150
2,7,3,0,150
2,7,4,0,150
2,7,5,0,150
2,7,6,0,150
2,7,7,0,150
2,7,8,0,150
2,7,9,0,150
2,7,10,0,150
2,7,11,0,150
2,7,12,0,150
2,8,1,0,150
2,8,2,0,150
2,8,3,0,150
2,8,4,0,150
2,8,5,0,150
2,8,6,0,150
2,8,7,0,150
2,8,8,0,150
2,8,9,0,150
2,8,10,0,150
2,8,11,0,150
2,8,12,0,150
2,9,1,0,150
2,9,2,0,150
2,9,3,0,150
2,9,4,0,150
2,9,5,0,150
2,9,6,0,150
2,9,7,0,150
2,9,8,0,150
2,9,9,0,150
2,9,10,0,150
2,9,11,0,150
2,9,12,0,150
2,16,1,0,170
2,16,2,0,170
2,16,3,0,170
2,16,4,0,170
2,16,5,0,170
2,16,6,0,170
2,16,7,0,170
2,16,8,0,170
2,16,9,0,170
2,16,10,0,170
2,16,11,0,170
2,16,12,0,170
2,17,1,0,170
2,17,2,0,170
2,17,3,0,170
2,17,4,0,170
2,17,5,0,170
2,17,6,0,170
2,17,7,0,170
2,17,8,0,170
2,17,9,0,170
2,17,10,0,170
2,17,11,0,170
2,17,12,0,170
2,22,1,0,20
2,22,2,0,20
2,22,3,0,20
2,22,4,0,20
2,22,5,0,20
2,22,6,0,20
2,22,7,0,20
2,22,8,0,20
2,22,9,0,20
2,22,10,0,20
2,22,11,0,20
2,22,12,0,20
2,23,1,0,20
2,23,2,0,20
2,23,3,0,20
2,23,4,0,20
2,23,5,0,20
2,23,6,0,20
2,23,7,0,20
2,23,8,0,20
2,23,9,0,20
2,23,10,0,20
2,23,11,0,20
2,23,12,0,20
2,24,1,0,20
2,24,2,0,20
2,24,3,0,20
2,24,4,0,20
2,24,5,0,20
2,24,6,0,20
2,24,7,0,20
2,24,8,0,20
2,24,9,0,20
2,24,10,0,20
2,24,11,0,20
2,24,12,0,20
2,25,1,0,20
2,25,2,0,20
2,25,3,0,20
2,25,4,0,20
2,25,5,0,20
2,25,6,0,20
2,25,7,0,20
2,25,8,0,20
2,25,9,0,20
2,25,10,0,20
2,25,11,0,20
2,25,12,0,20
2,26,1,0,20
2,26,2,0,20
2,26,3,0,20
2,26,4,0,20
2,26,5,0,20
2,26,6,0,20
2,26,7,0,20
2,26,8,0,20
2,26,9,0,20
2,26,10,0,20
2,26,11,0,20
2,26,12,0,20
2,27,1,0,20
2,27,2,0,20
2,27,3,0,20
2,27,4,0,20
2,27,5,0,20
2,27,6,0,20
2,27,7,0,20
2,27,8,0,20
2,27,9,0,20
2,27,10,0,20
2,27,11,0,20
2,27,12,0,20
2,28,1,0,20
2,28,2,0,20
2,28,3,0,20
2,28,4,0,20
2,28,5,0,20
2,28,6,0,20
2,28,7,0,20
2,28,8,0,20
2,28,9,0,20
2,28,10,0,20
2,28,11,0,20
2,28,12,0,20
2,29,1,0,20
2,29,2,0,20
2,29,3,0,20
2,29,4,0,20
2,29,5,0,20
2,29,6,0,20
2,29,7,0,20
2,29,8,0,20
2,29,9,0,20
2,29,10,0,20
2,29,11,0,20
2,29,12,0,20
2,30,1,0,20
2,30,2,0,20
2,30,3,0,20
2,30,4,0,20
2,30,5,0,20
2,30,6,0,20
2,30,7,0,20
2,30,8,0,20
2,30,9,0,20
2,30,10,0,20
2,30,11,0,20
2,30,12,0,20
2,31,1,0,20
2,31,2,0,20
2,31,3,0,20
2,31,4,0,20
2,31,5,0,20
2,31,6,0,20
2,31,7,0,20
2,31,8,0,20
2,31,9,0,20
2,31,10,0,20
2,31,11,0,20
2,31,12,0,20
2,32,1,0,20
2,32,2,0,20
2,32,3,0,20
2,32,4,0,20
2,32,5,0,20
2,32,6,0,20
2,32,7,0,20
2,32,8,0,20
2,32,9,0,20
2,32,10,0,20
2,32,11,0,20
2,32,12,0,20
2,33,1,0,20
2,33,2,0,20
2,33,3,0,20
2,33,4,0,20
2,33,5,0,20
2,33,6,0,20
2,33,7,0,20
2,33,8,0,20
2,33,9,0,20
2,33,10,0,20
2,33,11,0,20
2,33,12,0,20
2,34,1,0,20
2,34,2,0,20
2,34,3,0,20
2,34,4,0,20
2,34,5,0,20
2,34,6,0,20
2,34,7,0,20
2,34,8,0,20
2,34,9,0,20
2,34,10,0,20
2,34,11,0,20
2,34,12,0,20
2,35,1,0,20
2,35,2,0,20
2,35,3,0,20
2,35,4,0,20
2,35,5,0,20
2,35,6,0,20
2,35,7,0,20
2,35,8,0,20
2,35,9,0,20
2,35,10,0,20
2,35,11,0,20
2,35,12,0,20
2,36,1,0,20
2,36,2,0,20
2,36,3,0,20
2,36,4,0,20
2,36,5,0,20
2,36,6,0,20
2,36,7,0,20
2,36,8,0,20
2,36,9,0,20
2,36,10,0,20
2,36,11,0,20
2,36,12,0,20
2,37,1,0,20
2,37,2,0,20
2,37,3,0,20
2,37,4,0,20
2,37,5,0,20
2,37,6,0,20
2,37,7,0,20
2,37,8,0,20
2,37,9,0,20
2,37,10,0,20
2,37,11,0,20
2,37,12,0,20
2,38,1,0,20
2,38,2,0,20
2,38,3,0,20
2,38,4,0,20
2,38,5,0,20
2,38,6,0,20
2,38,7,0,20
2,38,8,0,20
2,38,9,0,20
2,38,10,0,20
2,38,11,0,20
2,38,12,0,20
2,39,1,0,20
2,39,2,0,20
2,39,3,0,20
2,39,4,0,20
2,39,5,0,20
2,39,6,0,20
2,39,7,0,20
2,39,8,0,20
2,39,9,0,20
2,39,10,0,20
2,39,11,0,20
2,39,12,0,20
3,4,1,0,150
3,4,2,0,150
3,4,3,0,150
3,4,4,0,150
3,4,5,0,150
3,4,6,0,150
3,4,7,0,150
3,4,8,0,150
3,4,9,0,150
3,4,10,0,150
3,4,11,0,150
3,4,12,0,150
3,5,1,0,150
3,5,2,0,150
3,5,3,0,150
3,5,4,0,150
3,5,5,0,150
3,5,6,0,150
3,5,7,0,150
3,5,8,0,150
3,5,9,0,150
3,5,10,0,150
3,5,11,0,150
3,5,12,0,150
3,6,1,0,150
3,6,2,0,150
3,6,3,0,150
3,6,4,0,150
3,6,5,0,150
3,6,6,0,150
3,6,7,0,150
3,6,8,0,150
3,6,9,0,150
3,6,10,0,150
3,6,11,0,150
3,6,12,0,150
3,7,1,0,150
3,7,2,0,150
3,7,3,0,150
3,7,4,0,150
3,7,5,0,150
3,7,6,0,150
3,7,7,0,150
3,7,8,0,150
3,7,9,0,150
3,7,10,0,150
3,7,11,0,150
3,7,12,0,150
3,8,1,0,150
3,8,2,0,150
3,8,3,0,150
3,8,4,0,150
3,8,5,0,150
3,8,6,0,150
3,8,7,0,150
3,8,8,0,150
3,8,9,0,150
3,8,10,0,150
3,8,11,0,150
3,8,12,0,150
3,9,1,0,150
3,9,2,0,150
3,9,3,0,150
3,9,4,0,150
3,9,5,0,150
3,9,6,0,150
3,9,7,0,150
3,9,8,0,150
3,9,9,0,150
3,9,10,0,150
3,9,11,0,150
3,9,12,0,150
3,16,1,0,170
3,16,2,0,170
3,16,3,0,170
3,16,4,0,170
3,16,5,0,170
3,16,6,0,170
3,16,7,0,170
3,16,8,0,170
3,16,9,0,170
3,16,10,0,170
3,16,11,0,170
3,16,12,0,170
3,17,1,0,170
3,17,2,0,170
3,17,3,0,170
3,17,4,0,170
3,17,5,0,170
3,17,6,0,170
3,17,7,0,170
3,17,8,0,170
3,17,9,0,170
3,17,10,0,170
3,17,11,0,170
3,17,12,0,170
3,22,1,0,20
3,22,2,0,20
3,22,3,0,20
3,22,4,0,20
3,22,5,0,20
3,22,6,0,20
3,22,7,0,20
3,22,8,0,20
3,22,9,0,20
3,22,10,0,20
3,22,11,0,20
3,22,12,0,20
3,23,1,0,20
3,23,2,0,20
3,23,3,0,20
3,23,4,0,20
3,23,5,0,20
3,23,6,0,20
3,23,7,0,20
3,23,8,0,20
3,23,9,0,20
3,23,10,0,20
3,23,11,0,20
3,23,12,0,20
3,24,1,0,20
3,24,2,0,20
3,24,3,0,20
3,24,4,0,20
3,24,5,0,20
3,24,6,0,20
3,24,7,0,20
3,24,8,0,20
3,24,9,0,20
3,24,10,0,20
3,24,11,0,20
3,24,12,0,20
3,25,1,0,20
3,25,2,0,20
3,25,3,0,20
3,25,4,0,20
3,25,5,0,20
3,25,6,0,20
3,25,7,0,20
3,25,8,0,20
3,25,9,0,20
3,25,10,0,20
3,25,11,0,20
3,25,12,0,20
3,26,1,0,20
3,26,2,0,20
3,26,3,0,20
3,26,4,0,20
3,26,5,0,20
3,26,6,0,20
3,26,7,0,20
3,26,8,0,20
3,26,9,0,20
3,26,10,0,20
3,26,11,0,20
3,26,12,0,20
3,27,1,0,20
3,27,2,0,20
3,27,3,0,20
3,27,4,0,20
3,27,5,0,20
3,27,6,0,20
3,27,7,0,20
3,27,8,0,20
3,27,9,0,20
3,27,10,0,20
3,27,11,0,20
3,27,12,0,20
3,28,1,0,20
3,28,2,0,20
3,28,3,0,20
3,28,4,0,20
3,28,5,0,20
3,28,6,0,20
3,28,7,0,20
3,28,8,0,20
3,28,9,0,20
3,28,10,0,20
3,28,11,0,20
3,28,12,0,20
3,29,1,0,20
3,29,2,0,20
3,29,3,0,20
3,29,4,0,20
3,29,5,0,20
3,29,6,0,20
3,29,7,0,20
3,29,8,0,20
3,29,9,1,20
3,29,10,0,20
3,29,11,0,20
3,29,12,0,20
3,30,1,0,20
3,30,2,0,20
3,30,3,0,20
3,30,4,0,20
3,30,5,0,20
3,30,6,0,20
3,30,7,0,20
3,30,8,0,20
3,30,9,0,20
3,30,10,0,20
3,30,11,0,20
3,30,12,0,20
3,31,1,0,20
3,31,2,0,20
3,31,3,0,20
3,31,4,0,20
3,31,5,0,20
3,31,6,0,20
3,31,7,0,20
3,31,8,0,20
3,31,9,0,20
3,31,10,0,20
3,31,11,0,20
3,31,12,0,20
3,32,1,0,20
3,32,2,0,20
3,32,3,0,20
3,32,4,0,20
3,32,5,0,20
3,32,6,0,20
3,32,7,0,20
3,32,8,0,20
3,32,9,0,20
3,32,10,0,20
3,32,11,0,20
3,32,12,0,20
3,33,1,0,20
3,33,2,0,20
3,33,3,0,20
3,33,4,0,20
3,33,5,0,20
3,33,6,0,20
3,33,7,0,20
3,33,8,0,20
3,33,9,0,20
3,33,10,0,20
3,33,11,0,20
3,33,12,0,20
3,34,1,0,20
3,34,2,0,20
3,34,3,0,20
3,34,4,0,20
3,34,5,0,20
3,34,6,0,20
3,34,7,0,20
3,34,8,0,20
3,34,9,0,20
3,34,10,0,20
3,34,11,0,20
3,34,12,0,20
3,35,1,0,20
3,35,2,0,20
3,35,3,0,20
3,35,4,0,20
3,35,5,0,20
3,35,6,0,20
3,35,7,0,20
3,35,8,0,20
3,35,9,0,20
3,35,10,0,20
3,35,11,0,20
3,35,12,0,20
3,36,1,0,20
3,36,2,0,20
3,36,3,0,20
3,36,4,0,20
3,36,5,0,20
3,36,6,0,20
3,36,7,0,20
3,36,8,0,20
3,36,9,0,20
3,36,10,0,20
3,36,11,0,20
3,36,12,0,20
3,37,1,0,20
3,37,2,0,20
3,37,3,0,20
3,37,4,0,20
3,37,5,0,20
3,37,6,0,20
3,37,7,0,20
3,37,8,0,20
3,37,9,0,20
3,37,10,0,20
3,37,11,0,20
3,37,12,0,20
3,38,1,0,20
3,38,2,0,20
3,38,3,0,20
3,38,4,0,20
3,38,5,0,20
3,38,6,0,20
3,38,7,0,20
3,38,8,0,20
3,38,9,0,20
3,38,10,0,20
3,38,11,0,20
3,38,12,0,20
3,39,1,0,20
3,39,2,0,20
3,39,3,0,20
3,39,4,0,20
3,39,5,0,20
3,39,6,0,20
3,39,7,0,20
3,39,8,0,20
3,39,9,0,20
3,39,10,0,20
3,39,11,0,20
3,39,12,0,20
4,4,1,0,150
4,4,2,0,150
4,4,3,0,150
4,4,4,0,150
4,4,5,0,150
4,4,6,0,150
4,4,7,0,150
4,4,8,0,150
4,4,9,0,150
4,4,10,0,150
4,4,11,0,150
4,4,12,0,150
4,5,1,0,150
4,5,2,0,150
4,5,3,0,150
4,5,4,0,150
4,5,5,0,150
4,5,6,0,150
4,5,7,0,150
4,5,8,0,150
4,5,9,0,150
4,5,10,0,150
4,5,11,0,150
4,5,12,0,150
4,6,1,0,150
4,6,2,0,150
4,6,3,0,150
4,6,4,0,150
4,6,5,0,150
4,6,6,0,150
4,6,7,0,150
4,6,8,0,150
4,6,9,0,150
4,6,10,0,150
4,6,11,0,150
4,6,12,0,150
4,7,1,0,150
4,7,2,0,150
4,7,3,0,150
4,7,4,0,150
4,7,5,0,150
4,7,6,0,150
4,7,7,0,150
4,7,8,0,150
4,7,9,0,150
4,7,10,0,150
4,7,11,0,150
4,7,12,0,150
4,8,1,0,150
4,8,2,0,150
4,8,3,0,150
4,8,4,0,150
4,8,5,0,150
4,8,6,0,150
4,8,7,0,150
4,8,8,0,150
4,8,9,0,150
4,8,10,0,150
4,8,11,0,150
4,8,12,0,150
4,9,1,0,150
4,9,2,0,150
4,9,3,0,150
4,9,4,0,150
4,9,5,0,150
4,9,6,0,150
4,9,7,0,150
4,9,8,0,150
4,9,9,0,150
4,9,10,0,150
4,9,11,0,150
4,9,12,0,150
4,16,1,0,170
4,16,2,0,170
4,16,3,0,170
4,16,4,0,170
4,16,5,0,170
4,16,6,0,170
4,16,7,0,170
4,16,8,0,170
4,16,9,0,170
4,16,10,0,170
4,16,11,0,170
4,16,12,0,170
4,17,1,0,170
4,17,2,0,170
4,17,3,0,170
4,17,4,0,170
4,17,5,0,170
4,17,6,0,170
4,17,7,0,170
4,17,8,0,170
4,17,9,0,170
4,17,10,0,170
4,17,11,0,170
4,17,12,0,170
4,22,1,0,20
4,22,2,0,20
4,22,3,0,20
4,22,4,0,20
4,22,5,0,20
4,22,6,0,20
4,22,7,0,20
4,22,8,0,20
4,22,9,0,20
4,22,10,0,20
4,22,11,0,20
4,22,12,0,20
4,23,1,0,20
4,23,2,0,20
4,23,3,0,20
4,23,4,0,20
4,23,5,0,20
4,23,6,0,20
4,23,7,0,20
4,23,8,0,20
4,23,9,0,20
4,23,10,0,20
4,23,11,0,20
4,23,12,0,20
4,24,1,0,20
4,24,2,0,20
4,24,3,0,20
4,24,4,0,20
4,24,5,0,20
4,24,6,0,20
4,24,7,0,20
4,24,8,0,20
4,24,9,0,20
4,24,10,0,20
4,24,11,0,20
4,24,12,0,20
4,25,1,0,20
4,25,2,0,20
4,25,3,0,20
4,25,4,0,20
4,25,5,0,20
4,25,6,0,20
4,25,7,0,20
4,25,8,0,20
4,25,9,0,20
4,25,10,0,20
4,25,11,0,20
4,25,12,0,20
4,26,1,0,20
4,26,2,0,20
4,26,3,0,20
4,26,4,0,20
4,26,5,0,20
4,26,6,0,20
4,26,7,0,20
4,26,8,0,20
4,26,9,0,20
4,26,10,0,20
4,26,11,0,20
4,26,12,0,20
4,27,1,0,20
4,27,2,0,20
4,27,3,0,20
4,27,4,0,20
4,27,5,0,20
4,27,6,0,20
4,27,7,0,20
4,27,8,0,20
4,27,9,0,20
4,27,10,0,20
4,27,11,0,20
4,27,12,0,20
4,28,1,0,20
4,28,2,0,20
4,28,3,0,20
4,28,4,0,20
4,28,5,0,20
4,28,6,0,20
4,28,7,0,20
4,28,8,0,20
4,28,9,0,20
4,28,10,0,20
4,28,11,0,20
4,28,12,0,20
4,29,1,0,20
4,29,2,0,20
4,29,3,0,20
4,29,4,0,20
4,29,5,0,20
4,29,6,0,20
4,29,7,0,20
4,29,8,0,20
4,29,9,0,20
4,29,10,0,20
4,29,11,0,20
4,29,12,0,20
4,30,1,0,20
4,30,2,0,20
4,30,3,0,20
4,30,4,0,20
4,30,5,0,20
4,30,6,0,20
4,30,7,0,20
4,30,8,0,20
4,30,9,0,20
4,30,10,0,20
4,30,11,0,20
4,30,12,0,20
4,31,1,0,20
4,31,2,0,20
4,31,3,0,20
4,31,4,0,20
4,31,5,0,20
4,31,6,0,20
4,31,7,0,20
4,31,8,0,20
4,31,9,0,20
4,31,10,0,20
4,31,11,0,20
4,31,12,0,20
4,32,1,0,20
4,32,2,0,20
4,32,3,0,20
4,32,4,0,20
4,32,5,0,20
4,32,6,0,20
4,32,7,0,20
4,32,8,0,20
4,32,9,0,20
4,32,10,0,20
4,32,11,0,20
4,32,12,0,20
4,33,1,0,20
4,33,2,0,20
4,33,3,0,20
4,33,4,0,20
4,33,5,0,20
4,33,6,0,20
4,33,7,0,20
4,33,8,0,20
4,33,9,0,20
4,33,10,0,20
4,33,11,0,20
4,33,12,0,20
4,34,1,0,20
4,34,2,0,20
4,34,3,0,20
4,34,4,0,20
4,34,5,0,20
4,34,6,0,20
4,34,7,0,20
4,34,8,0,20
4,34,9,0,20
4,34,10,0,20
4,34,11,0,20
4,34,12,0,20
4,35,1,0,20
4,35,2,0,20
4,35,3,0,20
4,35,4,0,20
4,35,5,0,20
4,35,6,0,20
4,35,7,0,20
4,35,8,0,20
4,35,9,0,20
4,35,10,0,20
4,35,11,0,20
4,35,12,0,20
4,36,1,0,20
4,36,2,0,20
4,36,3,0,20
4,36,4,0,20
4,36,5,0,20
4,36,6,0,20
4,36,7,0,20
4,36,8,0,20
4,36,9,0,20
4,36,10,0,20
4,36,11,0,20
4,36,12,0,20
4,37,1,0,20
4,37,2,0,20
4,37,3,0,20
4,37,4,0,20
4,37,5,0,20
4,37,6,0,20
4,37,7,0,20
4,37,8,0,20
4,37,9,0,20
4,37,10,0,20
4,37,11,0,20
4,37,12,0,20
4,38,1,0,20
4,38,2,0,20
4,38,3,0,20
4,38,4,0,20
4,38,5,0,20
4,38,6,0,20
4,38,7,0,20
4,38,8,0,20
4,38,9,0,20
4,38,10,0,20
4,38,11,0,20
4,38,12,0,20
4,39,1,0,20
4,39,2,0,20
4,39,3,0,20
4,39,4,0,20
4,39,5,0,20
4,39,6,0,20
4,39,7,0,20
4,39,8,0,20
4,39,9,0,20
4,39,10,0,20
4,39,11,0,20
4,39,12,0,20
5,4,1,0,150
5,4,2,0,150
5,4,3,0,150
5,4,4,0,150
5,4,5,0,150
5,4,6,0,150
5,4,7,0,150
5,4,8,0,150
5,4,9,0,150
5,4,10,0,150
5,4,11,0,150
5,4,12,0,150
5,5,1,0,150
5,5,2,0,150
5,5,3,0,150
5,5,4,0,150
5,5,5,0,150
5,5,6,0,150
5,5,7,0,150
5,5,8,0,150
5,5,9,0,150
5,5,10,0,150
5,5,11,0,150
5,5,12,0,150
5,6,1,0,150
5,6,2,0,150
5,6,3,0,150
5,6,4,0,150
5,6,5,0,150
5,6,6,0,150
5,6,7,0,150
5,6,8,0,150
5,6,9,0,150
5,6,10,0,150
5,6,11,0,150
5,6,12,0,150
5,7,1,0,150
5,7,2,0,150
5,7,3,0,150
5,7,4,0,150
5,7,5,0,150
5,7,6,0,150
5,7,7,0,150
5,7,8,0,150
5,7,9,0,150
5,7,10,0,150
5,7,11,0,150
5,7,12,0,150
5,8,1,0,150
5,8,2,0,150
5,8,3,0,150
5,8,4,0,150
5,8,5,0,150
5,8,6,0,150
5,8,7,0,150
5,8,8,0,150
5,8,9,0,150
5,8,10,0,150
5,8,11,0,150
5,8,12,0,150
5,9,1,0,150
5,9,2,0,150
5,9,3,0,150
5,9,4,0,150
5,9,5,0,150
5,9,6,0,150
5,9,7,0,150
5,9,8,0,150
5,9,9,0,150
5,9,10,0,150
5,9,11,0,150
5,9,12,0,150
5,16,1,0,170
5,16,2,0,170
5,16,3,0,170
5,16,4,0,170
5,16,5,0,170
5,16,6,0,170
5,16,7,0,170
5,16,8,0,170
5,16,9,0,170
5,16,10,0,170
5,16,11,0,170
5,16,12,0,170
5,17,1,0,170
5,17,2,0,170
5,17,3,0,170
5,17,4,0,170
5,17,5,0,170
5,17,6,0,170
5,17,7,0,170
5,17,8,0,170
5,17,9,0,170
5,17,10,0,170
5,17,11,0,170
